City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
511,itoman,26.1247,127.6694,17.01,88,20,6.17,JP,1678370331
512,kathmandu,27.7167,85.3167,19.12,37,20,2.06,NP,1678369740
513,banda aceh,5.5577,95.3222,26.17,80,40,4.87,ID,1678370332
514,oranjemund,-28.55,16.4333,21.18,67,0,6.12,NA,1678370332
515,barreirinhas,-2.7469,-42.8264,29.57,67,41,3.17,BR,1678370332
516,kenai,60.5544,-151.2583,-10.97,92,0,2.57,US,1678370146
517,dunedin,-45.8742,170.5036,15.45,70,48,1.56,NZ,1678370333
518,cravo norte,6.3017,-70.2041,33.39,41,89,1.11,CO,1678370333
519,kabare,-2.4683,28.8242,20.91,82,95,1.19,CD,1678370333
520,borovoy,55.4333,86.0833,-10.4,48,0,0.0,RU,1678370333
521,hualmay,-11.0964,-77.6139,24.03,77,99,2.66,PE,1678370333
522,hibbing,47.4272,-92.9377,-2.01,20,100,2.74,US,1678370334
523,emba,48.8264,58.1442,-4.43,80,91,3.13,KZ,1678370334
524,grindavik,63.8424,-22.4338,-0.74,55,75,8.75,IS,1678370334
525,urubicha,-15.3833,-62.95,29.95,58,82,1.52,BO,1678370334
526,maragogi,-9.0122,-35.2225,29.52,61,67,4.96,BR,1678370334
527,flinders,-34.5833,150.8552,16.32,78,0,2.51,AU,1678370334
528,vila velha,-20.3297,-40.2925,28.97,76,75,4.63,BR,1678370334
529,dukat,62.55,155.55,-29.76,91,6,2.34,RU,1678370335
530,boralday,43.3578,76.8594,4.92,81,75,0.0,KZ,1678370335
531,kahului,20.8947,-156.47,20.54,88,81,5.55,US,1678370124
532,marovoay,-16.1,46.6333,27.32,84,100,1.88,MG,1678370335
533,new richmond,45.123,-92.5366,0.95,80,100,4.12,US,1678370335
534,thohoyandou,-22.9456,30.485,30.88,39,2,4.02,ZA,1678370335
535,la ronge,55.1001,-105.2842,-27.86,76,40,1.54,CA,1678370335
536,horta,38.5333,-28.6333,17.8,93,75,13.41,PT,1678370335
537,tigzirt,36.8886,4.1198,19.14,71,52,4.25,DZ,1678370335
538,nyimba,-14.5566,30.8149,29.01,64,95,1.66,ZM,1678370336
539,menongue,-14.6585,17.691,27.35,51,100,2.98,AO,1678370336
540,talara,-4.5772,-81.2719,24.42,100,100,6.17,PE,1678370336
541,honiara,-9.4333,159.95,24.28,93,100,0.72,SB,1678370336
542,kropotkin,45.4375,40.5756,14.95,56,81,5.41,RU,1678370336
543,buala,-8.145,159.5921,25.85,84,100,1.88,SB,1678370336
544,guerrero negro,27.9769,-114.0611,12.0,84,46,5.63,MX,1678370336
545,san ramon de la nueva oran,-23.1322,-64.326,31.35,50,0,0.47,AR,1678370336
546,tessalit,20.1986,1.0114,37.78,6,0,4.12,ML,1678370337
547,axim,4.8699,-2.2405,29.76,68,49,3.59,GH,1678370337
